,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
1,0.1509434,0.06024096,0.2345679,0.47112465,0.18238991
2,0.18238991,0.04819277,0.20987655,0.48632222,0.18867925
3,0.18867925,0.04819277,0.2469136,0.4893617,0.22012576
4,0.22012576,0.06024096,0.22222222,0.5045593,0.2578616
5,0.2578616,0.06024096,0.20987655,0.5227964,0.25052407
6,0.25052407,0.06024096,0.20987655,0.5192503,0.24318656
7,0.24318656,0.06024096,0.20987655,0.51570415,0.23584905
8,0.23584905,0.06024096,0.20987655,0.51215804,0.22851151
9,0.22851151,0.06024096,0.20987655,0.508612,0.221174
10,0.221174,0.06024096,0.20987655,0.50506586,0.21383646
11,0.21383646,0.06024096,0.20987655,0.5015198,0.28301886
12,0.28301886,0.06024096,0.2469136,0.5349544,0.163522
13,0.163522,0.06024096,0.20987655,0.47720367,0.16981131
14,0.16981131,0.06024096,0.19135801,0.48024318,0.17610061
15,0.17610061,0.06024096,0.17283951,0.4832827,0.18238991
16,0.18238991,0.06024096,0.2016461,0.48632222,0.18867925
17,0.18867925,0.06024096,0.23045267,0.4893617,0.19496855
18,0.19496855,0.06024096,0.25925928,0.49240124,0.17610061
19,0.17610061,0.04819277,0.18518518,0.4832827,0.163522
20,0.163522,0.04819277,0.18518518,0.47720367,0.1981132
21,0.1981132,0.04819277,0.19753085,0.49392098,0.2327044
22,0.2327044,0.04819277,0.20987655,0.5106383,0.21383646
23,0.21383646,0.06024096,0.22222222,0.5015198,0.19077566
24,0.19077566,0.056224905,0.2016461,0.4903749,0.1677149
25,0.1677149,0.052208826,0.18106996,0.47923002,0.14465407
26,0.14465407,0.04819277,0.16049384,0.4680851,0.050314464
27,0.050314464,0.024096385,0.11111112,0.4224924,0.14779872
28,0.14779872,0.036144577,0.12962963,0.46960488,0.24528301
29,0.24528301,0.04819277,0.14814816,0.5167173,0.27044025
30,0.27044025,0.06024096,0.16049384,0.5288754,0.07547169
31,0.07547169,0.0,0.012345687,0.43465048,0.08176101
32,0.08176101,0.0,0.012345687,0.43769,0.11949686
33,0.11949686,0.06024096,0.2345679,0.45592707,0.20754716
34,0.20754716,0.06024096,0.18518518,0.49848026,0.20335427
35,0.20335427,0.056224905,0.17695473,0.4964539,0.19916141
36,0.19916141,0.052208826,0.16872428,0.49442756,0.19496855
37,0.19496855,0.04819277,0.16049384,0.49240124,0.21383646
38,0.21383646,0.04819277,0.16666667,0.5015198,0.2327044
39,0.2327044,0.04819277,0.17283951,0.5106383,0.12578616
40,0.12578616,0.06024096,0.22222222,0.45896658,0.12578616
41,0.12578616,0.06024096,0.22222222,0.45896658,0.14465407
42,0.14465407,0.06024096,0.24074073,0.4680851,0.163522
43,0.163522,0.06024096,0.25925928,0.47720367,0.22641507
44,0.22641507,0.06024096,0.28395063,0.5075988,0.2389937
45,0.2389937,0.06024096,0.22222222,0.51367784,0.2389937
46,0.2389937,0.072289154,0.22222222,0.51367784,0.24528301
47,0.24528301,0.04819277,0.22222222,0.5167173,0.2515723
48,0.2515723,0.072289154,0.28395063,0.51975685,0.24842766
49,0.24842766,0.06626506,0.27160496,0.5182371,0.24528301
50,0.24528301,0.06024096,0.25925928,0.5167173,0.22641507
51,0.22641507,0.06024096,0.25925928,0.5075988,0.28301886
52,0.28301886,0.04819277,0.18518518,0.5349544,0.13836476
53,0.13836476,0.06024096,0.19753085,0.4650456,0.13836476
54,0.13836476,0.06024096,0.22222222,0.4650456,0.1509434
55,0.1509434,0.06024096,0.20987655,0.47112465,0.13836476
56,0.13836476,0.036144577,0.22839506,0.4544073,0.12578616
57,0.12578616,0.012048192,0.2469136,0.43769,0.1572327
58,0.1572327,0.04819277,0.18518518,0.47416413,0.20754716
59,0.20754716,0.06024096,0.20987655,0.49848026,0.2515723
60,0.2515723,0.06024096,0.22222222,0.51975685,0.21383646
61,0.21383646,0.06024096,0.2345679,0.5015198,0.2327044
62,0.2327044,0.06024096,0.25925928,0.5106383,0.2389937
63,0.2389937,0.06425702,0.2633745,0.51367784,0.24528301
64,0.24528301,0.0682731,0.26748973,0.5167173,0.2515723
65,0.2515723,0.072289154,0.27160496,0.51975685,0.21174005
66,0.21174005,0.0682731,0.26748973,0.49949342,0.17190772
67,0.17190772,0.06425702,0.2633745,0.47923002,0.13207546
68,0.13207546,0.06024096,0.25925928,0.45896658,0.0
69,0.0,0.0,0.049382716,0.3951368,0.062893085
70,0.062893085,0.030120477,0.1419753,0.4270517,0.12578616
71,0.12578616,0.06024096,0.2345679,0.45896658,0.13207546
72,0.13207546,0.06024096,0.25925928,0.44984806,0.14465407
73,0.14465407,0.06024096,0.20987655,0.4680851,0.2389937
74,0.2389937,0.04819277,0.18518518,0.51367784,0.24528301
75,0.24528301,0.072289154,0.20987655,0.5167173,0.18867925
76,0.18867925,0.0,0.049382716,0.4893617,0.24213836
77,0.24213836,0.030120477,0.12962963,0.5151976,0.29559746
78,0.29559746,0.06024096,0.20987655,0.54103345,0.2515723
79,0.2515723,0.04819277,0.18518518,0.51975685,0.25426772
80,0.25426772,0.05163511,0.20282187,0.5210595,0.25696316
81,0.25696316,0.05507745,0.22045855,0.5223622,0.25965855
82,0.25965855,0.058519788,0.23809524,0.52366483,0.262354
83,0.262354,0.061962135,0.25573194,0.52496743,0.2650494
84,0.2650494,0.065404475,0.2733686,0.5262701,0.26774484
85,0.26774484,0.068846814,0.2910053,0.52757275,0.27044025
86,0.27044025,0.072289154,0.30864197,0.5288754,0.36477986
87,0.36477986,0.04819277,0.20987655,0.57446814,0.37106916
88,0.37106916,0.072289154,0.38271606,0.5775076,0.2515723
89,0.2515723,0.09638554,0.44444448,0.51975685,0.38364777
90,0.38364777,0.08433735,0.4814815,0.58358663,0.3616352
91,0.3616352,0.07831325,0.42592597,0.57294834,0.33962262
92,0.33962262,0.072289154,0.3703704,0.56231004,0.33962262
93,0.33962262,0.072289154,0.3703704,0.56231004,0.35220125
94,0.35220125,0.09638554,0.41975313,0.56838906,0.49056605
95,0.49056605,0.10240963,0.46296299,0.42401218,0.6289308
96,0.6289308,0.10843372,0.50617284,0.7294833,0.41509435
97,0.41509435,0.08433735,0.34567904,0.5987842,0.3144654
98,0.3144654,0.072289154,0.27160496,0.550152,0.21383646
99,0.21383646,0.06024096,0.19753085,0.5015198,0.591195
100,0.591195,0.072289154,0.25925928,0.7021277,0.24528301
101,0.24528301,0.072289154,0.27160496,0.5167173,0.38993707
102,0.38993707,0.06024096,0.2345679,0.5866262,0.48742136
103,0.48742136,0.06626506,0.25308645,0.3981763,0.5849057
104,0.5849057,0.072289154,0.27160496,0.6960486,0.48008385
105,0.48008385,0.0682731,0.26748973,0.5167173,0.37526202
106,0.37526202,0.06425702,0.2633745,0.34954408,0.27044025
107,0.27044025,0.06024096,0.25925928,0.5288754,0.25471696
108,0.25471696,0.072289154,0.25925928,0.5212766,0.2389937
109,0.2389937,0.08433735,0.25925928,0.51367784,0.34591192
110,0.34591192,0.08433735,0.3333333,0.5653496,0.37106916
111,0.37106916,0.08433735,0.2962963,0.5775076,0.3742138
112,0.3742138,0.072289154,0.26543212,0.57902735,0.37735847
113,0.37735847,0.06024096,0.2345679,0.5805471,0.13207546
114,0.13207546,0.06024096,0.25925928,0.4620061,0.47798738
115,0.47798738,0.04819277,0.22222222,0.62917936,0.42767295
116,0.42767295,0.072289154,0.25925928,0.6048632,0.5125786
117,0.5125786,0.07831325,0.32098764,0.39361703,0.5974843
118,0.5974843,0.08433735,0.38271606,0.7051672,0.5723271
119,0.5723271,0.072289154,0.33950615,0.68844986,0.5471698
120,0.5471698,0.06024096,0.2962963,0.67173254,0.5283019
121,0.5283019,0.08433735,0.35802472,0.65653497,0.5345912
122,0.5345912,0.072289154,0.2962963,0.6595745,0.5471698
123,0.5471698,0.10843372,0.4814815,0.67173254,0.7484277
124,0.7484277,0.09638554,0.56790125,0.8145897,0.9685535
125,0.9685535,0.10843372,0.5555556,0.9756839,0.7169811
126,0.7169811,0.090361446,0.42592597,0.51975685,0.46540877
127,0.46540877,0.072289154,0.2962963,0.6231003,0.45283017
128,0.45283017,0.072289154,0.26543212,0.6170213,0.44025156
129,0.44025156,0.072289154,0.2345679,0.61094224,0.37735847
130,0.37735847,0.06024096,0.2345679,0.5805471,0.43238994
131,0.43238994,0.06626506,0.25925928,0.43085107,0.48742136
132,0.48742136,0.072289154,0.28395063,0.4057751,0.5424528
133,0.5424528,0.07831325,0.30864197,0.5554711,0.5974843
134,0.5974843,0.08433735,0.3333333,0.7051672,0.40251568
135,0.40251568,0.08433735,0.3333333,0.5927052,0.47798738
136,0.47798738,0.09638554,0.46913582,0.62917936,0.49685535
137,0.49685535,0.06024096,0.20987655,0.6382979,0.35220125
138,0.35220125,0.072289154,0.28395063,0.56838906,0.22641507
139,0.22641507,0.06024096,0.2469136,0.5075988,0.32389936
140,0.32389936,0.06024096,0.2469136,0.5547113,0.42138365
141,0.42138365,0.06024096,0.2469136,0.6018237,0.2515723
142,0.2515723,0.072289154,0.2962963,0.51975685,0.41194966
143,0.41194966,0.08433735,0.40123457,0.4270517,0.5723271
144,0.5723271,0.09638554,0.50617284,0.6869301,0.7672956
145,0.7672956,0.10843372,0.46913582,0.82978725,0.37106916
146,0.37106916,0.08433735,0.39506173,0.5775076,0.327044
147,0.327044,0.07831325,0.32716048,0.556231,0.28301886
148,0.28301886,0.072289154,0.25925928,0.5349544,0.35220125
149,0.35220125,0.08433735,0.08641975,0.56838906,0.49685535
150,0.49685535,0.14457831,0.7283951,0.6382979,0.6415094
151,0.6415094,0.072289154,0.25925928,0.7386018,0.6352201
152,0.6352201,0.08433735,0.38271606,0.73252285,0.6876311
153,0.6876311,0.08433735,0.35802472,0.77102333,0.740042
154,0.740042,0.08433735,0.3333333,0.8095238,0.7924528
155,0.7924528,0.08433735,0.30864197,0.84802437,0.5974843
156,0.5974843,0.14457831,0.6666667,0.7051672,0.5597484
157,0.5597484,0.08433735,0.3333333,0.6808511,0.5849057
158,0.5849057,0.072289154,0.2345679,0.69908816,0.6603774
159,0.6603774,0.12048192,0.53086424,0.7507599,0.6100629
160,0.6100629,0.13253012,0.60493827,0.7173252,0.6069182
161,0.6069182,0.10843372,0.54938275,0.71428573,0.6037736
162,0.6037736,0.08433735,0.49382716,0.71124625,0.5471698
163,0.5471698,0.072289154,0.2962963,0.67173254,0.6352201
164,0.6352201,0.08433735,0.617284,0.73252285,0.5723271
165,0.5723271,0.06024096,0.19753085,0.6869301,0.37735847
166,0.37735847,0.06024096,0.19753085,0.5805471,0.41509435
167,0.41509435,0.06024096,0.22222222,0.5987842,0.42976937
168,0.42976937,0.04819277,0.18106996,0.60587645,0.4444444
169,0.4444444,0.036144577,0.13991772,0.61296856,0.45911947
170,0.45911947,0.024096385,0.09876543,0.6200608,0.5723271
171,0.5723271,0.06024096,0.2469136,0.6869301,0.33962262
172,0.33962262,0.072289154,0.30864197,0.56231004,0.37106916
173,0.37106916,0.09638554,0.32098764,0.5775076,0.29559746
174,0.29559746,0.072289154,0.25925928,0.54103345,0.34905657
175,0.34905657,0.09638554,0.40123457,0.5668693,0.40251568
176,0.40251568,0.12048192,0.5432099,0.5927052,0.6415094
177,0.6415094,0.09638554,0.45679015,0.7386018,0.5220126
178,0.5220126,0.19277108,0.34567904,0.65349543,0.47169808
179,0.47169808,0.08433735,0.49382716,0.6261399,0.6477987
180,0.6477987,0.08433735,0.45679015,0.74164134,0.46540877
181,0.46540877,0.19277108,0.49382716,0.6231003,0.509434
182,0.509434,0.13855422,0.40123457,0.36930093,0.5534591
183,0.5534591,0.08433735,0.30864197,0.674772,0.6069182
184,0.6069182,0.10240963,0.5123457,0.71276593,0.6603774
185,0.6603774,0.12048192,0.7160494,0.7507599,0.5408805
186,0.5408805,0.09638554,0.53086424,0.6656535,0.42767295
187,0.42767295,0.072289154,0.27160496,0.6048632,0.42138365
188,0.42138365,0.06024096,0.22222222,0.6018237,0.46226415
189,0.46226415,0.08433735,0.4320988,0.6215806,0.5031447
190,0.5031447,0.10843372,0.64197534,0.6413374,0.5283019
191,0.5283019,0.08433735,0.3703704,0.65653497,0.45283017
192,0.45283017,0.06024096,0.2345679,0.6170213,0.28930816
193,0.28930816,0.072289154,0.25925928,0.5379939,0.36477986
194,0.36477986,0.09638554,0.5185185,0.57446814,0.509434
