var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
0.0631579,0.06024096,0.048969068,0.47112465,0.07631579
0.07631579,0.04819277,0.04381443,0.48632222,0.07894738
0.07894738,0.04819277,0.051546387,0.4893617,0.09210527
0.09210527,0.06024096,0.046391748,0.5045593,0.10789475
0.10789475,0.06024096,0.04381443,0.5227964,0.10482456
0.10482456,0.06024096,0.04381443,0.5192503,0.1017544
0.1017544,0.06024096,0.04381443,0.51570415,0.09868422
0.09868422,0.06024096,0.04381443,0.51215804,0.09561403
0.09561403,0.06024096,0.04381443,0.508612,0.09254387
0.09254387,0.06024096,0.04381443,0.50506586,0.089473695
0.089473695,0.06024096,0.04381443,0.5015198,0.11842106
0.11842106,0.06024096,0.051546387,0.5349544,0.06842106
0.06842106,0.06024096,0.04381443,0.47720367,0.07105263
0.07105263,0.06024096,0.03994845,0.48024318,0.073684216
0.073684216,0.06024096,0.03608247,0.4832827,0.07631579
0.07631579,0.06024096,0.04209622,0.48632222,0.07894738
0.07894738,0.06024096,0.048109964,0.4893617,0.081578955
0.081578955,0.06024096,0.054123707,0.49240124,0.073684216
0.073684216,0.04819277,0.03865979,0.4832827,0.06842106
0.06842106,0.04819277,0.03865979,0.47720367,0.08289474
0.08289474,0.04819277,0.04123711,0.49392098,0.09736842
0.09736842,0.04819277,0.04381443,0.5106383,0.089473695
0.089473695,0.06024096,0.046391748,0.5015198,0.07982457
0.07982457,0.056224905,0.04209622,0.4903749,0.07017545
0.07017545,0.052208826,0.037800685,0.47923002,0.06052632
0.06052632,0.04819277,0.033505157,0.4680851,0.021052636
0.021052636,0.024096385,0.023195876,0.4224924,0.061842106
0.061842106,0.036144577,0.027061855,0.46960488,0.102631584
0.102631584,0.04819277,0.030927835,0.5167173,0.1131579
0.1131579,0.06024096,0.033505157,0.5288754,0.03157895
0.03157895,0,0.00257732,0.43465048,0.034210525
0.034210525,0,0.00257732,0.43769,0.050000004
0.050000004,0.06024096,0.048969068,0.45592707,0.086842105
0.086842105,0.06024096,0.03865979,0.49848026,0.08508772
0.08508772,0.056224905,0.03694158,0.4964539,0.08333334
0.08333334,0.052208826,0.035223365,0.49442756,0.081578955
0.081578955,0.04819277,0.033505157,0.49240124,0.089473695
0.089473695,0.04819277,0.034793817,0.5015198,0.09736842
0.09736842,0.04819277,0.03608247,0.5106383,0.05263158
0.05263158,0.06024096,0.046391748,0.45896658,0.05263158
0.05263158,0.06024096,0.046391748,0.45896658,0.06052632
0.06052632,0.06024096,0.050257728,0.4680851,0.06842106
0.06842106,0.06024096,0.054123707,0.47720367,0.094736844
0.094736844,0.06024096,0.059278347,0.5075988,0.10000001
0.10000001,0.06024096,0.046391748,0.51367784,0.10000001
0.10000001,0.072289154,0.046391748,0.51367784,0.102631584
0.102631584,0.04819277,0.046391748,0.5167173,0.10526316
0.10526316,0.072289154,0.059278347,0.51975685,0.10394737
0.10394737,0.06626506,0.056701027,0.5182371,0.102631584
0.102631584,0.06024096,0.054123707,0.5167173,0.094736844
0.094736844,0.06024096,0.054123707,0.5075988,0.11842106
0.11842106,0.04819277,0.03865979,0.5349544,0.057894737
0.057894737,0.06024096,0.04123711,0.4650456,0.057894737
0.057894737,0.06024096,0.046391748,0.4650456,0.0631579
0.0631579,0.06024096,0.04381443,0.47112465,0.057894737
