,date,so2,no2,RSPM,AQI
0,2009-07-27,9.0,29.0,42.0,42.0
1,2009-07-28,8.0,27.0,47.0,47.0
2,2009-07-29,8.0,30.0,48.0,48.0
3,2009-07-30,9.0,28.0,53.0,53.0
4,2009-07-31,9.0,27.0,59.0,59.0
5,2009-08-01,9.0,27.0,57.833333333333336,57.833333333333336
6,2009-08-02,9.0,27.0,56.666666666666664,56.666666666666664
7,2009-08-03,9.0,27.0,55.5,55.5
8,2009-08-04,9.0,27.0,54.333333333333336,54.333333333333336
9,2009-08-05,9.0,27.0,53.166666666666664,53.166666666666664
10,2009-08-06,9.0,27.0,52.0,52.0
11,2009-08-07,9.0,30.0,63.0,63.0
12,2009-08-08,9.0,27.0,44.0,44.0
13,2009-08-09,9.0,25.5,45.0,45.0
14,2009-08-10,9.0,24.0,46.0,46.0
15,2009-08-11,9.0,26.333333333333332,47.0,47.0
16,2009-08-12,9.0,28.666666666666668,48.0,48.0
17,2009-08-13,9.0,31.0,49.0,49.0
18,2009-08-14,8.0,25.0,46.0,46.0
19,2009-08-15,8.0,25.0,44.0,44.0
20,2009-08-16,8.0,26.0,49.5,49.5
21,2009-08-17,8.0,27.0,55.0,55.0
22,2009-08-18,9.0,28.0,52.0,52.0
23,2009-08-19,8.666666666666666,26.333333333333332,48.333333333333336,48.333333333333336
24,2009-08-20,8.333333333333334,24.666666666666668,44.666666666666664,44.666666666666664
25,2009-08-21,8.0,23.0,41.0,41.0
26,2009-08-22,6.0,19.0,26.0,26.0
27,2009-08-23,7.0,20.5,41.5,41.5
28,2009-08-24,8.0,22.0,57.0,57.0
29,2009-08-25,9.0,23.0,61.0,61.0
30,2009-08-26,4.0,11.0,30.0,30.0
31,2009-08-27,4.0,11.0,31.0,31.0
32,2009-08-28,9.0,29.0,37.0,37.0
33,2009-08-29,9.0,25.0,51.0,51.0
34,2009-08-30,8.666666666666666,24.333333333333332,50.333333333333336,50.333333333333336
35,2009-08-31,8.333333333333334,23.666666666666668,49.666666666666664,49.666666666666664
36,2009-09-01,8.0,23.0,49.0,49.0
37,2009-09-02,8.0,23.5,52.0,52.0
38,2009-09-03,8.0,24.0,55.0,55.0
39,2009-09-04,9.0,28.0,38.0,38.0
40,2009-09-05,9.0,28.0,38.0,38.0
41,2009-09-06,9.0,29.5,41.0,41.0
42,2009-09-07,9.0,31.0,44.0,44.0
43,2009-09-08,9.0,33.0,54.0,54.0
44,2009-09-09,9.0,28.0,56.0,56.0
45,2009-09-10,10.0,28.0,56.0,56.0
46,2009-09-11,8.0,28.0,57.0,57.0
47,2009-09-12,10.0,33.0,58.0,58.0
48,2009-09-13,9.5,32.0,57.5,57.5
49,2009-09-14,9.0,31.0,57.0,57.0
50,2009-09-15,9.0,31.0,54.0,54.0
51,2009-09-16,8.0,25.0,63.0,63.0
52,2009-09-17,9.0,26.0,40.0,40.0
53,2009-09-18,9.0,28.0,40.0,40.0
54,2009-09-19,9.0,27.0,42.0,42.0
55,2009-09-20,7.0,28.5,36.5,40.0
56,2009-09-21,5.0,30.0,31.0,38.0
57,2009-09-22,8.0,25.0,43.0,43.0
58,2009-09-23,9.0,27.0,51.0,51.0
